investor_city,interest_type,budget,experience,risk,duration,goal
خميس مشيط,زراعي,250000,خبرة قوية,منخفض جداً,1-3 سنوات,بناء أصول عقارية
سراة عبيدة,أرض,500000,خبرة بسيطة,عالي,5 سنوات فأكثر,تنمية رأس المال على المدى الطويل
النماص,زراعي,250000,خبرة بسيطة,منخفض جداً,1-3 سنوات,بناء أصول عقارية
بيشة,أرض,3000000,خبرة بسيطة,عالي,أقل من سنة,عائد شهري منتظم
رجال المع,أرض,3000000,خبرة قوية,عالي,1-3 سنوات,عائد شهري منتظم
سراة عبيدة,أستثمار موسمي,3000000,ليست لدي خبرة,متوسط,أقل من سنة,بناء أصول عقارية
بيشة,أستثمار موسمي,250000,خبرة قوية,متوسط,أقل من سنة,تحقيق نمو سريع
أبها,أرض,1000000,ليست لدي خبرة,عالي,أقل من سنة,تحقيق نمو سريع
بيشة,أستثمار موسمي,3000000,خبرة بسيطة,عالي,1-3 سنوات,عائد شهري منتظم
بيشة,أرض,1000000,خبرة قوية,منخفض جداً,5 سنوات فأكثر,عائد شهري منتظم
بيشة,أستثمار موسمي,2000000,ليست لدي خبرة,منخفض جداً,أقل من سنة,تنمية رأس المال على المدى الطويل
بيشة,زراعي,3000000,خبرة بسيطة,منخفض جداً,1-3 سنوات,تحقيق نمو سريع
رجال المع,أرض,1000000,خبرة قوية,منخفض جداً,أقل من سنة,تحقيق نمو سريع
خميس مشيط,أرض,1000000,ليست لدي خبرة,عالي,5 سنوات فأكثر,تحقيق نمو سريع
سراة عبيدة,أرض,1000000,خبرة قوية,عالي,أقل من سنة,تنويع مصادر الدخل
بيشة,زراعي,1000000,ليست لدي خبرة,عالي,1-3 سنوات,عائد شهري منتظم
النماص,زراعي,1000000,خبرة بسيطة,عالي,1-3 سنوات,تنويع مصادر الدخل
سراة عبيدة,أستثمار موسمي,250000,خبرة بسيطة,متوسط,1-3 سنوات,تحقيق نمو سريع
رجال المع,أستثمار موسمي,500000,ليست لدي خبرة,متوسط,1-3 سنوات,تنمية رأس المال على المدى الطويل
النماص,أستثمار موسمي,250000,خبرة بسيطة,منخفض جداً,5 سنوات فأكثر,تحقيق نمو سريع
خميس مشيط,زراعي,500000,ليست لدي خبرة,متوسط,أقل من سنة,تنمية رأس المال على المدى الطويل
سراة عبيدة,أرض,2000000,خبرة قوية,منخفض جداً,1-3 سنوات,بناء أصول عقارية
رجال المع,زراعي,1000000,خبرة بسيطة,منخفض جداً,1-3 سنوات,تنويع مصادر الدخل
بيشة,أستثمار موسمي,1000000,ليست لدي خبرة,عالي,أقل من سنة,بناء أصول عقارية
رجال المع,أرض,1000000,خبرة قوية,عالي,5 سنوات فأكثر,بناء أصول عقارية
النماص,أستثمار موسمي,3000000,ليست لدي خبرة,منخفض جداً,أقل من سنة,عائد شهري منتظم
أبها,أرض,3000000,ليست لدي خبرة,عالي,أقل من سنة,بناء أصول عقارية
أبها,زراعي,1000000,ليست لدي خبرة,متوسط,أقل من سنة,تنويع مصادر الدخل
أبها,أستثمار موسمي,3000000,خبرة قوية,عالي,أقل من سنة,تنويع مصادر الدخل
خميس مشيط,أستثمار موسمي,1000000,خبرة بسيطة,متوسط,1-3 سنوات,تحقيق نمو سريع
