location,type,area,price,desc,return
أبها,أرض,1000,250000,عقار مميز,5
أبها,أستثمار موسمي,1000,500000,قريب من الخدمات,8
أبها,زراعي,1000,1000000,فرصة استثمارية واعدة,12
خميس مشيط,أرض,1000,2000000,قابل للتطوير,15
خميس مشيط,أستثمار موسمي,1000,3000000,عقار مميز,5
خميس مشيط,زراعي,1000,250000,قريب من الخدمات,8
النماص,أرض,1000,500000,فرصة استثمارية واعدة,12
النماص,أستثمار موسمي,1000,1000000,قابل للتطوير,15
النماص,زراعي,1000,2000000,عقار مميز,5
رجال المع,أرض,1000,3000000,قريب من الخدمات,8
رجال المع,أستثمار موسمي,1000,250000,فرصة استثمارية واعدة,12
رجال المع,زراعي,1000,500000,قابل للتطوير,15
بيشة,أرض,1000,1000000,عقار مميز,5
بيشة,أستثمار موسمي,1000,2000000,قريب من الخدمات,8
بيشة,زراعي,1000,3000000,فرصة استثمارية واعدة,12
سراة عبيدة,أرض,1000,250000,قابل للتطوير,15
سراة عبيدة,أستثمار موسمي,1000,500000,عقار مميز,5
سراة عبيدة,زراعي,1000,1000000,قريب من الخدمات,8
